name,age,email,phone,purchase_frequency
Jade Janssen,32,jade.janssen@distansakademin.se,0770-890207,low
Jane Jenkins,20,jane.jenkins@distansakademin.se,0759-987357,low
Jade Jöhanssön,27,jade.johansson@distansakademin.se,0763-674891,low
Jill Jacksön,31,invalid_mail,0757-389187,high
Jack Jennings,48,invalid_mail,0734-347958,low
Jenny Smith,43,jenny.smith@distansakademin.se,0775-704108,high
Jasper Jensen,37,jasper.jensen@distansakademin.se,0794-355316,medium
Jack Jensen,invalid_age,jack.jensen@distansakademin.se,0772-513453,low
Jill Janssen,62,jill.janssen@distansakademin.se,0720-283503,low
Jack Jensen,52,jack.jensen@distansakademin.se,0755-756126,medium
Jasper Jenkins,49,jasper.jenkins@distansakademin.se,0796-617946,low
Jade Jönes,27,invalid_mail,0787-490653,high
Jesse Jennings,31,invalid_mail,0772-749417,low
Jöhn Jensen,53,invalid_mail,0736-544545,low
Jöe Smith,54,joe.smith@distansakademin.se,0754-724936,high
Jöhn Jacksön,invalid_age,john.jackson@distansakademin.se,0767-420236,medium
Jane Smith,31,invalid_mail,0754-413080,medium
Jim Smith,28,jim.smith@distansakademin.se,0772-976296,high
Jöe Jöhnsön,64,joe.johnson@distansakademin.se,0757-900381,medium
Jim Jacksön,47,jim.jackson@distansakademin.se,0784-623100,medium
Jöhn Janssen,43,john.janssen@distansakademin.se,0758-845083,medium
Jöe Jöhanssön,38,joe.johansson@distansakademin.se,0726-745992,low
Jöe Jöhnsön,invalid_age,joe.johnson@distansakademin.se,0770-761901,medium
Jöhn Jennings,22,invalid_mail,0799-902509,medium
Jasper Jensen,38,invalid_mail,0767-708274,low
Jöe Jennings,33,joe.jennings@distansakademin.se,0777-774576,medium
Jill Jensen,18,jill.jensen@distansakademin.se,0797-649812,low
Jasper Jacksön,52,jasper.jackson@distansakademin.se,0723-205286,high
Jade Jöhanssön,36,jade.johansson@distansakademin.se,0758-155779,high
Jade Jönes,28,jade.jones@distansakademin.se,0796-198569,medium
Jim Jensen,29,jim.jensen@distansakademin.se,0782-619275,medium
Jöe Jöhnsön,60,joe.johnson@distansakademin.se,0716-306326,medium
Jim Jensen,62,jim.jensen@distansakademin.se,0792-358482,low
Jöhn Jönes,56,john.jones@distansakademin.se,0767-582884,medium
Jade Jennings,invalid_age,jade.jennings@distansakademin.se,0779-500188,medium
Jill Jensen,invalid_age,jill.jensen@distansakademin.se,0774-915808,medium
Jane Jensen,38,jane.jensen@distansakademin.se,0745-935096,high
Jenny Jöhnsön,21,invalid_mail,0752-450541,medium
Jasper Janssen,32,jasper.janssen@distansakademin.se,0749-480310,low
Jöhn Jensen,59,john.jensen@distansakademin.se,0798-988897,high
Jasper Jennings,29,jasper.jennings@distansakademin.se,0711-453293,medium
Jade Jennings,37,invalid_mail,0735-766803,high
Jenny Jenkins,25,jenny.jenkins@distansakademin.se,0714-517717,low
Jade Jöhnsön,invalid_age,jade.johnson@distansakademin.se,0794-491248,high
Jill Jennings,63,jill.jennings@distansakademin.se,0753-771375,high
Jade Jenkins,25,jade.jenkins@distansakademin.se,0771-977326,medium
Jim Jöhnsön,62,jim.johnson@distansakademin.se,0755-722609,high
Jenny Janssen,invalid_age,jenny.janssen@distansakademin.se,0762-694495,high
Jim Jennings,26,jim.jennings@distansakademin.se,0731-252275,medium
Jasper Smith,41,jasper.smith@distansakademin.se,0710-850386,medium
Jenny Jöhnsön,48,jenny.johnson@distansakademin.se,0773-533095,high
Jim Jensen,25,jim.jensen@distansakademin.se,0796-835606,high
Jasper Jönes,invalid_age,jasper.jones@distansakademin.se,0753-648133,medium
Jade Jennings,63,jade.jennings@distansakademin.se,0735-488491,low
Jill Janssen,invalid_age,jill.janssen@distansakademin.se,0795-600459,medium
Jesse Janssen,39,jesse.janssen@distansakademin.se,0760-724469,high
Jenny Jönes,25,jenny.jones@distansakademin.se,0722-743872,low
Jack Jennings,65,jack.jennings@distansakademin.se,0750-861834,high
Jasper Jacksön,34,jasper.jackson@distansakademin.se,0713-266510,low
Jack Jennings,49,jack.jennings@distansakademin.se,0723-327841,high
Jasper Jensen,57,jasper.jensen@distansakademin.se,0796-628724,low
Jasper Jensen,47,jasper.jensen@distansakademin.se,0713-317999,high
Jade Jöhnsön,45,jade.johnson@distansakademin.se,0771-867540,medium
Jöe Jönes,59,joe.jones@distansakademin.se,0712-928798,medium
Jade Jensen,28,invalid_mail,0729-995192,low
Jasper Smith,40,jasper.smith@distansakademin.se,0760-926757,medium
Jenny Jennings,30,jenny.jennings@distansakademin.se,0728-414258,medium
Jade Jensen,44,jade.jensen@distansakademin.se,0782-620695,high
Jöhn Jacksön,61,john.jackson@distansakademin.se,0716-553021,medium
Jim Smith,29,jim.smith@distansakademin.se,0747-794371,medium
Jesse Jöhnsön,invalid_age,jesse.johnson@distansakademin.se,0743-207945,medium
Jasper Jöhnsön,60,jasper.johnson@distansakademin.se,0768-519517,high
Jack Jönes,invalid_age,jack.jones@distansakademin.se,0792-104167,medium
Jill Jennings,63,invalid_mail,0792-683292,low
Jöe Jacksön,31,joe.jackson@distansakademin.se,0782-926406,low
Jöhn Jöhnsön,48,invalid_mail,0798-109409,high
Jill Jönes,65,jill.jones@distansakademin.se,0789-855806,high
Jack Jennings,20,jack.jennings@distansakademin.se,0785-301503,low
Jasper Smith,24,jasper.smith@distansakademin.se,0771-202084,high
Jasper Jennings,invalid_age,jasper.jennings@distansakademin.se,0720-346851,high
Jill Jensen,54,jill.jensen@distansakademin.se,0721-907597,low
Jesse Janssen,62,jesse.janssen@distansakademin.se,0729-116618,high
Jöe Jennings,33,joe.jennings@distansakademin.se,0775-119966,medium
Jack Jennings,36,jack.jennings@distansakademin.se,0776-922176,low
Jim Jöhnsön,invalid_age,invalid_mail,0734-726746,low
Jesse Jensen,60,jesse.jensen@distansakademin.se,0781-211023,high
Jöhn Jensen,21,invalid_mail,0752-937570,medium
Jenny Jenkins,45,jenny.jenkins@distansakademin.se,0726-608635,medium
Jack Janssen,38,invalid_mail,0771-180066,medium
Jasper Jensen,26,invalid_mail,0765-405787,low
Jöe Janssen,37,joe.janssen@distansakademin.se,0746-451330,high
Jim Jacksön,57,jim.jackson@distansakademin.se,0713-471676,medium
Jesse Jönes,33,jesse.jones@distansakademin.se,0733-438376,high
Jane Jöhanssön,21,jane.johansson@distansakademin.se,0721-529459,high
Jack Janssen,52,jack.janssen@distansakademin.se,0789-513200,high
Jack Jensen,36,invalid_mail,0718-482736,medium
Jasper Jenkins,52,jasper.jenkins@distansakademin.se,0757-785679,low
Jöhn Jenkins,32,john.jenkins@distansakademin.se,0776-447662,low
Jenny Jöhanssön,52,invalid_mail,0737-820919,low
Jenny Jennings,26,jenny.jennings@distansakademin.se,0733-606713,low
Jade Jennings,52,jade.jennings@distansakademin.se,0764-877867,high
Jenny Jensen,40,jenny.jensen@distansakademin.se,0713-281661,high
Jane Jöhanssön,59,jane.johansson@distansakademin.se,0752-414148,high
Jane Smith,invalid_age,jane.smith@distansakademin.se,0765-574869,medium
Jöe Jennings,23,joe.jennings@distansakademin.se,0767-835604,medium
Jade Janssen,64,jade.janssen@distansakademin.se,0758-854588,medium
Jill Jenkins,63,jill.jenkins@distansakademin.se,0783-135387,low
Jack Janssen,55,jack.janssen@distansakademin.se,0757-190991,high
Jöe Jensen,29,joe.jensen@distansakademin.se,0754-380616,medium
Jill Jacksön,invalid_age,jill.jackson@distansakademin.se,0724-714446,medium
Jane Jensen,32,jane.jensen@distansakademin.se,0768-141529,high
Jöe Smith,22,invalid_mail,0775-678445,medium
Jane Jöhnsön,56,jane.johnson@distansakademin.se,0710-982757,high
Jöhn Smith,40,john.smith@distansakademin.se,0746-140581,high
Jöhn Janssen,35,john.janssen@distansakademin.se,0789-688306,high
Jack Jennings,31,jack.jennings@distansakademin.se,0795-491083,low
Jöhn Jensen,60,john.jensen@distansakademin.se,0787-757474,medium
Jöe Jöhnsön,40,joe.johnson@distansakademin.se,0773-296491,high
Jill Jensen,21,jill.jensen@distansakademin.se,0747-958341,low
Jenny Jacksön,63,invalid_mail,0739-944655,low
Jöhn Jensen,invalid_age,john.jensen@distansakademin.se,0724-148563,medium
Jöe Jöhnsön,invalid_age,joe.johnson@distansakademin.se,0738-819433,high
Jill Jenkins,59,invalid_mail,0753-440923,high
Jade Smith,invalid_age,invalid_mail,0764-633800,medium
Jesse Jöhanssön,55,jesse.johansson@distansakademin.se,0794-268981,low
Jack Jacksön,49,jack.jackson@distansakademin.se,0770-684103,medium
Jane Jöhanssön,34,invalid_mail,0768-883932,high
Jack Jennings,invalid_age,jack.jennings@distansakademin.se,0717-769345,low
Jasper Jönes,22,jasper.jones@distansakademin.se,0784-930794,medium
Jack Jöhnsön,40,jack.johnson@distansakademin.se,0726-537147,high
Jane Jacksön,invalid_age,jane.jackson@distansakademin.se,0750-386049,medium
Jöe Jensen,invalid_age,joe.jensen@distansakademin.se,0764-501913,medium
Jöe Janssen,51,joe.janssen@distansakademin.se,0737-766565,medium
Jim Smith,47,jim.smith@distansakademin.se,0798-976138,low
Jack Smith,22,invalid_mail,0776-583388,high
Jim Jensen,45,jim.jensen@distansakademin.se,0766-514102,low
Jill Jensen,27,jill.jensen@distansakademin.se,0718-504598,low
Jade Jennings,invalid_age,jade.jennings@distansakademin.se,0791-870972,high
Jade Smith,invalid_age,jade.smith@distansakademin.se,0724-855781,low
Jesse Jennings,52,jesse.jennings@distansakademin.se,0769-434932,low
Jade Jöhnsön,56,jade.johnson@distansakademin.se,0754-233157,low
Jenny Jöhnsön,49,jenny.johnson@distansakademin.se,0718-509699,low
Jöhn Jönes,invalid_age,john.jones@distansakademin.se,0780-406582,low
Jasper Jennings,40,jasper.jennings@distansakademin.se,0742-619965,high
Jade Jenkins,54,jade.jenkins@distansakademin.se,0782-589256,medium
Jane Smith,47,jane.smith@distansakademin.se,0747-566402,low
Jesse Jöhnsön,24,jesse.johnson@distansakademin.se,0710-336623,high
Jöe Jenkins,61,joe.jenkins@distansakademin.se,0728-862933,medium
Jill Jensen,60,jill.jensen@distansakademin.se,0732-178768,high
Jim Jönes,invalid_age,jim.jones@distansakademin.se,0793-687377,medium
Jöe Jensen,63,joe.jensen@distansakademin.se,0735-817900,low
Jöhn Janssen,52,john.janssen@distansakademin.se,0763-591438,medium
Jesse Jöhnsön,58,jesse.johnson@distansakademin.se,0743-879315,high
Jade Jennings,33,jade.jennings@distansakademin.se,0776-888443,medium
Jenny Smith,18,jenny.smith@distansakademin.se,0717-917130,high
Jade Jönes,61,jade.jones@distansakademin.se,0751-141047,medium
Jim Jönes,27,invalid_mail,0783-992117,medium
Jesse Jensen,invalid_age,jesse.jensen@distansakademin.se,0780-274321,high
Jöhn Jensen,31,john.jensen@distansakademin.se,0722-656671,high
Jesse Jenkins,invalid_age,jesse.jenkins@distansakademin.se,0751-461655,high
Jim Jöhanssön,18,jim.johansson@distansakademin.se,0734-154454,low
Jesse Jensen,60,jesse.jensen@distansakademin.se,0745-190951,medium
Jenny Janssen,27,jenny.janssen@distansakademin.se,0731-392839,low
Jöhn Jacksön,36,john.jackson@distansakademin.se,0732-911802,low
Jöe Jensen,56,joe.jensen@distansakademin.se,0792-180153,medium
Jesse Jensen,50,jesse.jensen@distansakademin.se,0746-429219,low
Jenny Jensen,52,jenny.jensen@distansakademin.se,0734-586077,low
Jill Jensen,28,jill.jensen@distansakademin.se,0734-939190,high
Jill Janssen,63,jill.janssen@distansakademin.se,0780-168592,medium
Jane Jensen,invalid_age,jane.jensen@distansakademin.se,0744-127172,high
Jack Jacksön,20,jack.jackson@distansakademin.se,0755-970168,low
Jim Janssen,23,jim.janssen@distansakademin.se,0771-138355,low
Jöhn Jacksön,56,john.jackson@distansakademin.se,0781-850740,medium
Jade Jöhanssön,28,jade.johansson@distansakademin.se,0789-603668,medium
Jöhn Jöhnsön,57,john.johnson@distansakademin.se,0793-699236,medium
Jim Jacksön,25,jim.jackson@distansakademin.se,0737-403595,high
Jöe Jenkins,invalid_age,joe.jenkins@distansakademin.se,0745-161655,high
Jill Jöhnsön,23,jill.johnson@distansakademin.se,0740-373734,high
Jasper Jöhnsön,45,jasper.johnson@distansakademin.se,0740-159251,medium
Jöe Smith,30,invalid_mail,0767-943364,high
Jöe Jenkins,37,joe.jenkins@distansakademin.se,0772-540400,high
Jane Jensen,invalid_age,jane.jensen@distansakademin.se,0771-549111,high
Jane Jennings,24,jane.jennings@distansakademin.se,0762-107590,high
Jack Jönes,37,jack.jones@distansakademin.se,0715-229557,medium
Jane Jennings,49,jane.jennings@distansakademin.se,0798-371614,low
Jane Jenkins,invalid_age,jane.jenkins@distansakademin.se,0783-535300,low
Jim Jenkins,54,jim.jenkins@distansakademin.se,0717-320561,low
Jane Janssen,invalid_age,jane.janssen@distansakademin.se,0757-362796,medium
Jack Smith,64,jack.smith@distansakademin.se,0755-293535,low
Jenny Jensen,62,jenny.jensen@distansakademin.se,0714-570592,high
Jade Jönes,24,jade.jones@distansakademin.se,0779-944903,high
Jade Jenkins,63,invalid_mail,0762-379804,low
Jade Jöhanssön,invalid_age,jade.johansson@distansakademin.se,0779-467121,high
Jack Jensen,54,jack.jensen@distansakademin.se,0715-321824,medium
Jöe Smith,30,invalid_mail,0746-614656,high
Jade Jenkins,21,jade.jenkins@distansakademin.se,0758-963003,medium
Jasper Jöhnsön,invalid_age,jasper.johnson@distansakademin.se,0719-540777,high
Jöe Smith,invalid_age,joe.smith@distansakademin.se,0724-399116,low
Jöe Jönes,56,joe.jones@distansakademin.se,0767-368146,low
Jöe Smith,27,joe.smith@distansakademin.se,0788-203177,low
Jasper Jenkins,45,jasper.jenkins@distansakademin.se,0779-636441,low
Jesse Jönes,invalid_age,jesse.jones@distansakademin.se,0739-847903,medium
Jim Smith,22,jim.smith@distansakademin.se,0747-322311,medium
Jane Jönes,50,jane.jones@distansakademin.se,0742-308501,high
Jöe Jacksön,23,joe.jackson@distansakademin.se,0753-603198,medium
Jöhn Jensen,37,john.jensen@distansakademin.se,0776-606683,medium
Jill Jensen,36,jill.jensen@distansakademin.se,0760-153302,medium
Jill Jacksön,27,jill.jackson@distansakademin.se,0765-118013,medium
Jöe Jöhanssön,45,invalid_mail,0720-274613,low
Jack Janssen,29,invalid_mail,0734-209198,high
Jöe Jönes,57,joe.jones@distansakademin.se,0781-775959,high
Jane Jöhnsön,25,jane.johnson@distansakademin.se,0734-251089,medium
Jim Smith,29,invalid_mail,0729-553831,high
Jack Jacksön,23,jack.jackson@distansakademin.se,0743-406773,low
Jill Smith,31,jill.smith@distansakademin.se,0759-602444,high
Jöhn Jöhnsön,43,john.johnson@distansakademin.se,0758-979758,low
Jesse Jenkins,49,jesse.jenkins@distansakademin.se,0794-435518,medium
Jim Jöhanssön,37,jim.johansson@distansakademin.se,0711-486157,high
Jenny Jöhnsön,28,jenny.johnson@distansakademin.se,0749-238239,high
Jane Jacksön,57,jane.jackson@distansakademin.se,0749-664880,high
Jack Jöhnsön,37,jack.johnson@distansakademin.se,0749-992562,low
Jenny Jacksön,18,jenny.jackson@distansakademin.se,0728-767570,high
Jöe Jenkins,50,invalid_mail,0726-507141,low
Jesse Jönes,54,jesse.jones@distansakademin.se,0781-806457,medium
Jade Jensen,23,invalid_mail,0766-328769,high
Jack Smith,61,jack.smith@distansakademin.se,0733-329453,high
Jade Smith,58,jade.smith@distansakademin.se,0753-557636,high
Jade Jöhanssön,28,invalid_mail,0789-830455,low
Jill Jennings,53,jill.jennings@distansakademin.se,0727-216106,high
Jill Jensen,49,jill.jensen@distansakademin.se,0774-265237,high
Jenny Jenkins,invalid_age,jenny.jenkins@distansakademin.se,0792-973103,high
Jim Jacksön,61,jim.jackson@distansakademin.se,0746-474593,low
Jenny Jacksön,54,invalid_mail,0710-602669,low
Jim Jöhnsön,58,jim.johnson@distansakademin.se,0716-295392,high
Jöhn Jensen,45,john.jensen@distansakademin.se,0754-680551,high
Jill Jensen,28,jill.jensen@distansakademin.se,0742-661100,high
Jesse Smith,41,jesse.smith@distansakademin.se,0793-276472,high
Jasper Jacksön,invalid_age,jasper.jackson@distansakademin.se,0710-337637,high
Jöhn Jacksön,48,john.jackson@distansakademin.se,0715-530009,high
Jasper Jensen,50,invalid_mail,0742-159617,low
Jane Jennings,24,jane.jennings@distansakademin.se,0715-930439,high
Jane Jacksön,invalid_age,jane.jackson@distansakademin.se,0781-698622,high
Jesse Jöhanssön,invalid_age,jesse.johansson@distansakademin.se,0750-821384,medium
Jöe Smith,58,joe.smith@distansakademin.se,0763-381741,high
Jim Jensen,38,jim.jensen@distansakademin.se,0771-562426,high
Jill Jönes,49,jill.jones@distansakademin.se,0792-566210,low
Jade Smith,30,invalid_mail,0767-499873,medium
Jesse Jennings,19,jesse.jennings@distansakademin.se,0757-888341,high
Jenny Jenkins,47,jenny.jenkins@distansakademin.se,0760-574467,high
Jack Jöhanssön,59,jack.johansson@distansakademin.se,0727-198499,high
Jade Jöhanssön,invalid_age,jade.johansson@distansakademin.se,0727-498654,high
Jade Jöhanssön,41,jade.johansson@distansakademin.se,0764-346445,high
Jack Smith,invalid_age,jack.smith@distansakademin.se,0753-389282,high
Jasper Jennings,62,jasper.jennings@distansakademin.se,0773-953846,high
Jenny Jöhnsön,invalid_age,jenny.johnson@distansakademin.se,0773-131438,low
Jade Smith,34,jade.smith@distansakademin.se,0771-366817,low
Jill Jacksön,39,jill.jackson@distansakademin.se,0776-850936,medium
Jack Jöhnsön,20,jack.johnson@distansakademin.se,0733-897713,low
Jöhn Jensen,invalid_age,john.jensen@distansakademin.se,0735-402200,high
Jasper Jennings,invalid_age,invalid_mail,0757-197728,high
Jöe Jenkins,51,joe.jenkins@distansakademin.se,0727-135551,medium
Jill Jensen,44,jill.jensen@distansakademin.se,0778-541273,low
Jesse Janssen,20,jesse.janssen@distansakademin.se,0734-723118,medium
Jenny Jöhnsön,invalid_age,jenny.johnson@distansakademin.se,0756-515188,medium
Jenny Jensen,59,jenny.jensen@distansakademin.se,0767-233075,low
Jack Smith,53,jack.smith@distansakademin.se,0758-153500,low
Jack Jacksön,57,jack.jackson@distansakademin.se,0712-415384,medium
Jack Jöhnsön,54,jack.johnson@distansakademin.se,0725-189103,low
Jöhn Jenkins,36,john.jenkins@distansakademin.se,0741-572296,high
Jack Smith,58,invalid_mail,0742-365023,low
Jöhn Jensen,45,john.jensen@distansakademin.se,0762-246134,high
Jenny Jönes,30,jenny.jones@distansakademin.se,0728-117786,high
Jill Jöhanssön,invalid_age,invalid_mail,0781-418123,medium
Jesse Janssen,40,jesse.janssen@distansakademin.se,0777-683686,low
Jill Jacksön,44,jill.jackson@distansakademin.se,0728-678319,low
Jesse Jensen,18,invalid_mail,0798-666418,medium
Jesse Jennings,48,invalid_mail,0758-628498,low
Jane Jöhnsön,25,jane.johnson@distansakademin.se,0743-588722,high
Jesse Jensen,43,jesse.jensen@distansakademin.se,0760-958391,high
Jade Jennings,21,invalid_mail,0798-184271,medium
Jim Jöhnsön,60,jim.johnson@distansakademin.se,0785-701175,high
Jack Jensen,62,jack.jensen@distansakademin.se,0725-707923,high
Jesse Smith,24,jesse.smith@distansakademin.se,0744-738312,high
Jane Jacksön,50,jane.jackson@distansakademin.se,0723-910964,low
Jim Jacksön,47,jim.jackson@distansakademin.se,0799-722596,medium
Jöhn Jennings,18,john.jennings@distansakademin.se,0715-307977,medium
Jasper Jensen,22,jasper.jensen@distansakademin.se,0730-562678,low
Jenny Jöhanssön,44,jenny.johansson@distansakademin.se,0725-427180,high
Jenny Jensen,52,jenny.jensen@distansakademin.se,0711-185133,medium
Jesse Janssen,52,invalid_mail,0745-795947,high
Jasper Jensen,invalid_age,jasper.jensen@distansakademin.se,0761-105727,high
Jasper Jenkins,46,jasper.jenkins@distansakademin.se,0775-870834,low
Jöe Janssen,invalid_age,joe.janssen@distansakademin.se,0723-642955,high
Jesse Jenkins,38,jesse.jenkins@distansakademin.se,0765-849834,low
Jade Jensen,59,jade.jensen@distansakademin.se,0742-388276,low
Jack Janssen,61,invalid_mail,0781-977426,high
Jöhn Jennings,42,john.jennings@distansakademin.se,0725-537818,medium
Jasper Smith,invalid_age,jasper.smith@distansakademin.se,0762-456378,low
Jade Jennings,50,jade.jennings@distansakademin.se,0782-903122,low
Jane Jennings,30,jane.jennings@distansakademin.se,0780-241815,low
Jöhn Janssen,30,john.janssen@distansakademin.se,0736-989413,high
Jane Janssen,60,jane.janssen@distansakademin.se,0720-744658,medium
Jasper Jöhanssön,57,invalid_mail,0713-251245,medium
Jesse Smith,21,jesse.smith@distansakademin.se,0768-498882,low
Jim Smith,59,jim.smith@distansakademin.se,0760-206524,high
Jasper Jönes,invalid_age,jasper.jones@distansakademin.se,0749-965050,high
Jill Smith,invalid_age,jill.smith@distansakademin.se,0752-178216,low
Jade Jönes,22,jade.jones@distansakademin.se,0721-221698,low
Jack Smith,40,jack.smith@distansakademin.se,0747-949516,medium
Jenny Jacksön,49,jenny.jackson@distansakademin.se,0757-453296,high
Jöhn Jennings,52,john.jennings@distansakademin.se,0719-790230,medium
Jenny Jöhanssön,60,jenny.johansson@distansakademin.se,0734-155996,medium
Jane Jacksön,33,jane.jackson@distansakademin.se,0764-635005,high
Jack Jöhnsön,52,jack.johnson@distansakademin.se,0770-752115,low
Jöe Jensen,invalid_age,joe.jensen@distansakademin.se,0770-883907,medium
Jane Jöhanssön,54,jane.johansson@distansakademin.se,0770-520364,high
Jade Jöhanssön,36,jade.johansson@distansakademin.se,0744-684389,low
Jesse Jenkins,36,jesse.jenkins@distansakademin.se,0734-756358,high
Jesse Janssen,34,jesse.janssen@distansakademin.se,0775-356783,high
Jenny Jöhnsön,35,jenny.johnson@distansakademin.se,0770-564213,high
Jenny Jönes,35,jenny.jones@distansakademin.se,0740-954892,high
Jenny Jacksön,invalid_age,jenny.jackson@distansakademin.se,0711-807573,low
Jenny Jensen,37,jenny.jensen@distansakademin.se,0738-119513,low
Jane Jensen,30,jane.jensen@distansakademin.se,0747-517876,low
Jenny Janssen,50,jenny.janssen@distansakademin.se,0761-198360,medium
Jack Jacksön,invalid_age,jack.jackson@distansakademin.se,0781-100200,high
Jade Jöhanssön,invalid_age,invalid_mail,0775-537662,low
Jane Jensen,38,jane.jensen@distansakademin.se,0765-586291,high
Jöe Jenkins,26,joe.jenkins@distansakademin.se,0750-937229,medium
Jöe Jenkins,34,joe.jenkins@distansakademin.se,0747-957112,medium
Jöhn Jensen,46,john.jensen@distansakademin.se,0746-626915,high
Jane Jenkins,56,jane.jenkins@distansakademin.se,0745-802312,medium
Jack Jenkins,42,jack.jenkins@distansakademin.se,0759-726605,medium
Jack Jacksön,26,jack.jackson@distansakademin.se,0747-495739,medium
Jill Jennings,invalid_age,jill.jennings@distansakademin.se,0741-640065,high
Jane Jensen,30,jane.jensen@distansakademin.se,0722-128636,low
Jenny Jacksön,65,jenny.jackson@distansakademin.se,0788-176847,low
Jöhn Smith,46,john.smith@distansakademin.se,0726-498440,medium
Jenny Jacksön,37,invalid_mail,0732-706257,medium
Jim Janssen,invalid_age,jim.janssen@distansakademin.se,0796-680651,medium
Jade Jenkins,55,jade.jenkins@distansakademin.se,0746-349058,high
Jack Jöhanssön,47,jack.johansson@distansakademin.se,0749-886025,low
Jill Jensen,48,jill.jensen@distansakademin.se,0769-808001,low
Jim Jöhnsön,48,jim.johnson@distansakademin.se,0767-621340,high
Jesse Jensen,35,jesse.jensen@distansakademin.se,0711-117226,high
Jenny Smith,31,invalid_mail,0764-763104,medium
Jesse Jöhnsön,25,invalid_mail,0773-353397,medium
Jasper Jensen,51,jasper.jensen@distansakademin.se,0749-807158,medium
Jöe Jensen,23,joe.jensen@distansakademin.se,0720-470555,medium
Jim Jenkins,55,jim.jenkins@distansakademin.se,0746-909797,low
Jade Jensen,invalid_age,invalid_mail,0748-460460,medium
Jane Jönes,29,jane.jones@distansakademin.se,0788-627435,low
Jade Jacksön,30,jade.jackson@distansakademin.se,0769-665548,low
Jesse Jöhnsön,29,jesse.johnson@distansakademin.se,0723-401762,low
Jöhn Smith,42,john.smith@distansakademin.se,0748-246143,high
Jane Jensen,47,jane.jensen@distansakademin.se,0760-539194,medium
Jöhn Jennings,56,john.jennings@distansakademin.se,0776-579289,high
Jane Jöhanssön,59,jane.johansson@distansakademin.se,0733-289039,high
Jasper Jensen,25,jasper.jensen@distansakademin.se,0725-386894,low
Jesse Janssen,32,jesse.janssen@distansakademin.se,0749-785345,low
Jim Jennings,46,jim.jennings@distansakademin.se,0780-848515,medium
Jack Jensen,65,jack.jensen@distansakademin.se,0799-859406,medium
Jane Jöhanssön,34,jane.johansson@distansakademin.se,0727-581987,medium
Jenny Smith,invalid_age,jenny.smith@distansakademin.se,0781-589939,high
Jane Jöhnsön,27,jane.johnson@distansakademin.se,0712-133265,low
Jim Jensen,invalid_age,jim.jensen@distansakademin.se,0715-884348,medium
Jöe Jacksön,53,joe.jackson@distansakademin.se,0745-851941,medium
Jöe Jöhanssön,29,joe.johansson@distansakademin.se,0743-872864,medium
Jill Jenkins,invalid_age,jill.jenkins@distansakademin.se,0720-611400,low
Jöe Jenkins,57,joe.jenkins@distansakademin.se,0727-953610,low
Jade Jacksön,invalid_age,jade.jackson@distansakademin.se,0793-934204,medium
Jöhn Smith,22,john.smith@distansakademin.se,0746-126329,low
Jim Jenkins,invalid_age,invalid_mail,0771-806727,low
Jöhn Jöhnsön,41,john.johnson@distansakademin.se,0766-384539,medium
Jill Jenkins,invalid_age,jill.jenkins@distansakademin.se,0792-226654,low
Jöe Jennings,59,joe.jennings@distansakademin.se,0717-673012,low
Jöe Jöhanssön,26,joe.johansson@distansakademin.se,0744-354679,low
Jasper Jönes,invalid_age,jasper.jones@distansakademin.se,0721-487562,medium
Jenny Jacksön,50,jenny.jackson@distansakademin.se,0715-406128,low
Jasper Jennings,invalid_age,invalid_mail,0785-464027,low
Jade Jensen,60,jade.jensen@distansakademin.se,0736-723465,medium
Jöhn Jöhanssön,23,john.johansson@distansakademin.se,0718-622457,medium
Jack Jacksön,28,jack.jackson@distansakademin.se,0787-872487,medium
Jasper Jöhanssön,46,jasper.johansson@distansakademin.se,0721-566912,medium
Jöhn Jensen,59,john.jensen@distansakademin.se,0728-392104,high
Jill Jacksön,33,jill.jackson@distansakademin.se,0769-782229,medium
Jöhn Jöhnsön,47,john.johnson@distansakademin.se,0750-466195,high
Jim Jöhanssön,26,jim.johansson@distansakademin.se,0767-110611,high
Jesse Smith,22,jesse.smith@distansakademin.se,0761-663712,high
Jack Jensen,28,jack.jensen@distansakademin.se,0724-817083,low
Jöhn Janssen,49,invalid_mail,0767-418686,low
Jöhn Smith,invalid_age,john.smith@distansakademin.se,0779-832284,low
Jill Jacksön,60,jill.jackson@distansakademin.se,0721-831519,medium
Jöe Jöhnsön,32,joe.johnson@distansakademin.se,0715-329512,high
Jack Jenkins,43,jack.jenkins@distansakademin.se,0764-641691,medium
Jim Jacksön,54,jim.jackson@distansakademin.se,0744-515057,medium
Jöe Jacksön,22,joe.jackson@distansakademin.se,0722-184266,high
Jill Jensen,44,jill.jensen@distansakademin.se,0754-222718,high
Jade Jenkins,23,jade.jenkins@distansakademin.se,0752-798215,medium
Jesse Jöhanssön,30,jesse.johansson@distansakademin.se,0770-448378,low
Jack Jönes,54,jack.jones@distansakademin.se,0735-363272,high
Jade Jensen,48,invalid_mail,0790-271931,medium
Jane Jensen,invalid_age,jane.jensen@distansakademin.se,0759-347310,low
Jade Jennings,invalid_age,jade.jennings@distansakademin.se,0713-737498,high
Jasper Jenkins,62,jasper.jenkins@distansakademin.se,0753-754892,high
Jöe Jensen,58,joe.jensen@distansakademin.se,0720-459922,medium
Jasper Jenkins,29,jasper.jenkins@distansakademin.se,0783-925934,high
